feature	coefficient	stage
rna_NTSR1	0.2366866332241349	Stage1-RNA
rna_PITX3	0.22467871138570675	Stage1-RNA
rna_RLBP1	-0.2239692096313363	Stage1-RNA
rna_LDLRAD3	0.19324494666508787	Stage1-RNA
rna_CLEC17A	-0.19116432134266062	Stage1-RNA
rna_FIGLA	-0.17443596833744798	Stage1-RNA
rna_RPS6KL1	-0.16647735659433707	Stage1-RNA
rna_MAEL	-0.15034854998533437	Stage1-RNA
rna_LY6K	0.13641093899766832	Stage1-RNA
rna_FETUB	0.12676533552739305	Stage1-RNA
rna_KRTAP19-4	-0.12488519353592598	Stage1-RNA
rna_MYLIP	-0.12355566248885848	Stage1-RNA
tme_CD8_T_exhausted	0.12335059580091337	Stage2-immune/TME/clinical
tme_Macrophage_M1	-0.11438795014960484	Stage2-immune/TME/clinical
rna_FUT4	0.11172072651574931	Stage1-RNA
clinical_stage	0.11154479521779774	Stage2-immune/TME/clinical
rna_CHRNA5	0.11062925926565167	Stage1-RNA
rna_BEST3	0.09623047761107277	Stage1-RNA
rna_KCNA6	-0.08522333034841112	Stage1-RNA
tme_CD8_T_cytotoxic	-0.0743716378339077	Stage2-immune/TME/clinical
rna_GNPNAT1	0.0683644644838814	Stage1-RNA
clinical_age	0.06226018404230833	Stage2-immune/TME/clinical
til_score	-0.056976582875787635	Stage2-immune/TME/clinical
til_density	-0.056529550279628735	Stage2-immune/TME/clinical
mut_SMAD4	0.04663142971745601	Stage2-immune/TME/clinical
rna_DKK1	0.04590010922120923	Stage1-RNA
tme_NK	-0.04026526495572989	Stage2-immune/TME/clinical
tme_Macrophage_M2	0.039754102210880396	Stage2-immune/TME/clinical
mut_STK11	0.031396779408220964	Stage2-immune/TME/clinical
tme_Treg	0.030030902278449238	Stage2-immune/TME/clinical
rna_C1QTNF6	0.027119672759101657	Stage1-RNA
mut_EGFR	0.026257639644383712	Stage2-immune/TME/clinical
rna_VDAC1	-0.015847008242929533	Stage1-RNA
mut_KRAS	-0.009571191631048	Stage2-immune/TME/clinical
rna_FAIM2	-0.007813445241443668	Stage1-RNA
